Audience Segment,Creative Size,Creative Messaging,Location,App/URL,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Total Conversions,Gross Cost,CPA,CTR,CPC,CPM,CVR,vCPM,Viewability
Mobile - US>Device Ownership>Smartphones>Huawei,300x250,Sign up Now - 10% Off,"Tampa-St Petersburg (Sarasota), Florida",dailymail.co.uk/tvshowbiz,Google Ad Manager,Smartphone,7427,0,4752,6566,1,"$1,504.78","$1,504.78",0.00%,#DIV/0!,$202.61,#DIV/0!,$316.66,72.37282973
US>Health and Wellbeing>Health and Wellbeing,320x50,Sign up Today - 10% Off,"Chicago, Illinois",medicalnewstoday.com,Magnite DV+,Smartphone,9881,15,2344,7324,1,"$1,505.01","$1,505.01",0.15%,$100.33,$152.31,6.67%,$642.07,32.0043692
US>Brand Propensities>Big Box Dollar Tree Buyer Propensity,320x50,Sign up Now - 10% Off,"Miami-Ft. Lauderdale, Florida",outlook.live.com,Magnite DV+,Smartphone,8278,40,6758,7537,1,"$1,526.30","$1,526.30",0.48%,$38.16,$184.38,2.50%,$225.85,89.66432267
Media and Entertainment>Movies>Enthusiasts,320x50,Subscribe Today - 10% Discount,"Jacksonville, Florida",wsvn.com,BidSwitch,Smartphone,13466,150,8684,11766,1,"$1,527.18","$1,527.18",1.11%,$10.18,$113.41,0.67%,$175.86,73.80588135
Online Behavior>United States>Food and Drink>Beverages>Juice,320x50,Sign up Now - 10% Off,"Los Angeles, California",realtor.com,Google Ad Manager,Smartphone,40859,144,17695,37108,4,"$6,130.37","$1,532.59",0.35%,$42.57,$150.04,2.78%,$346.45,47.68513528
US>Reach>Propensity Models>Household Consumer Expenditures>Kitchen,320x50,Sign up Now - 10% Off,"San Francisco, California",culinaryhill.com,Google Ad Manager,Smartphone,10093,65,3901,9645,2,"$3,105.28","$1,552.64",0.64%,$47.77,$307.67,3.08%,$796.02,40.44582685
Media and Entertainment>Sports and Recreational Activities>Interest (Affinity)>Combat Sports,320x50,Sign up Now - 10% Off,"Los Angeles, California",npr.org,Smart RTB+ (Smartadserver),Smartphone,13592,85,7747,10690,1,"$1,555.11","$1,555.11",0.63%,$18.30,$114.41,1.18%,$200.74,72.46959775
Media and Entertainment>Sports and Recreational Activities>Interest (Affinity)>Team Sports>Soccer (Football),300x250,Sign up Today - 10% Off,"Nashville, Tennessee",merriam-webster.com/dictionary,BidSwitch,Smartphone,7402,9,3860,6406,1,"$1,560.45","$1,560.45",0.12%,$173.38,$210.81,11.11%,$404.26,60.25600999
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 25-34,300x250,10% Discount - Ends 6/1,"Los Angeles, California",ign.com,Index Exchange,Smartphone,8273,24,1929,7441,3,"$4,689.52","$1,563.17",0.29%,$195.40,$566.85,12.50%,"$2,431.06",25.92393495
Online Behavior>United States>Intent>Auto Buyers>Car Make>Peugeot,300x250,Sign up Today - 10% Off,"New York City, New York",usatoday.com,Google Ad Manager,Smartphone,186404,940,30885,151358,3,"$4,702.03","$1,567.34",0.50%,$5.00,$25.22,0.32%,$152.24,20.40526434
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Males 18-34,320x50,10% Discount - Ends 6/1,"San Francisco, California",nbcdfw.com,BidSwitch,Smartphone,10835,25,2888,10487,3,"$4,704.25","$1,568.08",0.23%,$188.17,$434.17,12.00%,"$1,628.90",27.53885763
Online Behavior>United States>Validated Demographic>Age>25 or older,320x50,10% Discount - Ends 6/1,"Chattanooga, Tennessee",kiplinger.com,OpenX,Smartphone,8233,65,5361,7643,4,"$6,381.01","$1,595.25",0.79%,$98.17,$775.05,6.15%,"$1,190.26",70.14261416
Online Behavior>United States>Intent>Auto Buyers>Category>Sport Cars,320x50,Sign up Today - 10% Off,"Augusta, Georgia",people.com,Google Ad Manager,Smartphone,81567,440,53264,68123,4,"$6,392.47","$1,598.12",0.54%,$14.53,$78.37,0.91%,$120.01,78.1879835
US>Interest Propensities>Activities and Interests>Fashion,300x250,Sign up Now - 10% Off,"West Palm Beach-Ft. Pierce, Florida",ebay.com,PubMatic,Windows PC,61442,190,17048,54166,1,"$1,609.15","$1,609.15",0.31%,$8.47,$26.19,0.53%,$94.39,31.47361814
US Financial>Credit Card Type>Credit Card Holder - Unknown Type,300x50,10% Discount - Ends 6/1,"Savannah, Georgia",fandom.com,Google Ad Manager,Smartphone,7394,20,3441,6663,1,"$1,624.84","$1,624.84",0.27%,$81.24,$219.75,5.00%,$472.20,51.64340387
Online Behavior>United States>Sports>Winter Sports>Ice Skating,300x250,Sign up Now - 10% Off,"Chicago, Illinois",mail.yahoo.com,Google Ad Manager,Smartphone,470192,940,336480,443202,3,"$4,963.97","$1,654.66",0.20%,$5.28,$10.56,0.32%,$14.75,75.92023502
Media and Entertainment>Television (TV),300x250,Subscribe Today - 10% Discount,"Grand Rapids-Kalamazoo, Michigan",poshland.com,Google Ad Manager,Smartphone,9130,33,3721,5564,1,"$1,655.79","$1,655.79",0.36%,$50.18,$181.36,3.03%,$444.99,66.87634795
Online Behavior>United States>The Changing Consumer>Gaming Equipment,320x50,Sign up Today - 10% Off,"Chattanooga, Tennessee",cnet.com,TripleLift,Smartphone,7530,20,5468,7298,3,"$5,038.71","$1,679.57",0.27%,$251.94,$669.15,15.00%,$921.49,74.92463689
Media and Entertainment>Gaming>Interest (Affinity)>Video Games,320x50,Subscribe Today - 10% Discount,"Tallahassee, Florida-Thomasville, Georgia",bleacherbreaker.com,OpenX,Smartphone,9078,21,4051,6215,1,"$1,700.80","$1,700.80",0.23%,$80.99,$187.35,4.76%,$419.85,65.18101368
OnAudience>Interest>Travel,300x250,Subscribe Today - 10% Discount,"New York City, New York",mail.yahoo.com,BidSwitch,Smartphone,7540,10,1475,2054,1,"$1,713.98","$1,713.98",0.13%,$171.40,$227.32,10.00%,"$1,162.02",71.81110029
Online Behavior>United States>Beauty and Fitness>Spas and Beauty Services>Massage Therapy,300x250,10% Discount - Ends 6/1,"San Francisco, California",msn.com,Google Ad Manager,Smartphone,109128,470,38487,90615,3,"$5,153.12","$1,717.71",0.43%,$10.96,$47.22,0.64%,$133.89,42.47310048
Online Behavior>United States>Online Communities>Social Networks,320x50,10% Discount - Ends 6/1,"Chicago, Illinois",flightaware.com,Google Ad Manager,Smartphone,9463,56,1518,8191,4,"$6,879.60","$1,719.90",0.59%,$122.85,$727.00,7.14%,"$4,532.02",18.53253571
Online Behavior>United States>Hobbies and Leisure>Water Activities,320x50,Sign up Now - 10% Off,"Charleston, South Carolina",weather.com,Google Ad Manager,Smartphone,156427,512,61821,145505,3,"$5,159.75","$1,719.92",0.33%,$10.08,$32.99,0.59%,$83.46,42.48719975
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Males 18-54,300x250,Sign up Now - 10% Off,"Nashville, Tennessee",accuweather.com,Google Ad Manager,Smartphone,14730,88,1272,12427,3,"$5,190.54","$1,730.18",0.60%,$58.98,$352.38,3.41%,"$4,080.61",10.23577694
US Demographic>Preferred Language>Individual>Non-Hispanic,300x250,Subscribe Today - 10% Discount,"New York City, New York",houseplans.net,BidSwitch,Smartphone,7356,10,1588,7088,1,"$1,730.37","$1,730.37",0.14%,$173.04,$235.23,10.00%,"$1,089.66",22.40406321
Online Behavior>United States>B2B>Occupation>SupplyChainManager,300x250,Sign up Now - 10% Off,"Jacksonville, Florida",my.earthlink.net,Google Ad Manager,Apple PC,7470,0,6753,7229,1,"$1,739.00","$1,739.00",0.00%,#DIV/0!,$232.80,#DIV/0!,$257.51,93.41541015
Online Behavior>United States>Intent>Shopping>Drug Stores>CVS,300x250,Sign up Now - 10% Off,"San Francisco, California",drugs.com,BidSwitch,Smartphone,11697,64,6761,10783,3,"$5,218.07","$1,739.36",0.55%,$81.53,$446.10,4.69%,$771.79,62.70054716
Online Behavior>United States>Online Communities>Photo and Video Sharing,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",flightaware.com,PubMatic,Smartphone,12136,97,2089,11500,3,"$5,224.93","$1,741.64",0.80%,$53.87,$430.53,3.09%,"$2,501.16",18.16521739
Mobile - US>Food>Restaurant>Brand>Krispy Kreme,300x50,10% Discount - Ends 6/1,"Grand Rapids-Kalamazoo, Michigan",usnews.com,PubMatic,Smartphone,13608,66,2714,9332,1,"$1,762.66","$1,762.66",0.49%,$26.71,$129.53,1.52%,$649.47,29.0827261
Online Behavior>United States>The Changing Consumer>DIY,320x50,Sign up Today - 10% Off,"Grand Rapids-Kalamazoo, Michigan",techradar.com,Google Ad Manager,Smartphone,12161,20,6284,10919,4,"$7,273.27","$1,818.32",0.16%,$363.66,$598.08,20.00%,"$1,157.43",57.55105779
US>Brand Propensities>Apparel>Lady Foot Locker Buyer Propensity,300x250,Subscribe Today - 10% Discount,"Shreveport, Louisiana",thesaurus.com,PubMatic,Windows PC,57257,167,3797,51520,1,"$1,841.36","$1,841.36",0.29%,$11.03,$32.16,0.60%,$484.95,7.369953416
Online Behavior>United States>The Changing Consumer>Trending TV Shows,320x50,10% Discount - Ends 6/1,"Jacksonville, Florida",outlook.live.com,Index Exchange,Smartphone,113262,380,95762,104612,4,"$7,443.48","$1,860.87",0.34%,$19.59,$65.72,1.05%,$77.73,91.54016748
Online Behavior>United States>Validated Demographic>Gender>Female,300x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",yourroyals.com,Google Ad Manager,Smartphone,10906,46,4735,6390,3,"$5,694.27","$1,898.09",0.42%,$123.79,$522.12,6.52%,"$1,202.59",74.10015649
Online Behavior>United States>Real Estate>Apartments and Residential Rentals,320x50,Sign up Now - 10% Off,"New York City, New York",cbssports.com,Google Ad Manager,Smartphone,9515,30,6169,9138,3,"$5,776.51","$1,925.50",0.32%,$192.55,$607.09,10.00%,$936.38,67.50930182
OnAudience>Interest>Society,300x50,Subscribe Today - 10% Discount,"Tampa-St Petersburg (Sarasota), Florida",thehulltruth.com,PubMatic,Smartphone,7531,10,3059,6523,1,"$1,937.06","$1,937.06",0.13%,$193.71,$257.21,10.00%,$633.23,46.89560018
Online Behavior>United States>B2B>Occupation>ComputerProgrammer,300x250,10% Discount - Ends 6/1,"Chattanooga, Tennessee",realtor.com,Yahoo Exchange,Apple PC,114194,380,50923,104074,2,"$4,036.09","$2,018.04",0.33%,$10.62,$35.34,0.53%,$79.26,48.92960778
Online Behavior>United States>Intent>Shopping>Consumer Electronics>Televisions/TVs,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",msn.com,PubMatic,Smartphone,192201,489,113707,157940,3,"$6,176.00","$2,058.67",0.25%,$12.63,$32.13,0.61%,$54.32,71.99379511
Online Behavior>United States>Intent>Shopping>CPG� Home Care,320x50,Subscribe Today - 10% Discount,"Tampa-St Petersburg (Sarasota), Florida",weather.com,Google Ad Manager,Smartphone,210700,704,94625,180681,3,"$6,341.88","$2,113.96",0.33%,$9.01,$30.10,0.43%,$67.02,52.37130634
Online Behavior>United States>Autos and Vehicles>Brands>Ford,300x50,Sign up Today - 10% Off,"New York City, New York",insider.com,Google Ad Manager,Smartphone,89744,311,48786,85900,3,"$6,369.81","$2,123.27",0.35%,$20.48,$70.98,0.96%,$130.57,56.79394645
Online Behavior>United States>Intent>Travel>Travel,300x50,Subscribe Today - 10% Discount,"New York City, New York",wikihow.com,PubMatic,Smartphone,11789,20,6187,10028,3,"$6,505.53","$2,168.51",0.17%,$325.28,$551.83,15.00%,"$1,051.48",61.69724771
Online Behavior>United States>Beauty and Fitness>Face and Body Care>Unwanted Body and Facial Hair Removal,300x250,Subscribe Today - 10% Discount,"New York City, New York",cnn.com,Google Ad Manager,Smartphone,106392,299,39599,94941,3,"$6,542.61","$2,180.87",0.28%,$21.88,$61.50,1.00%,$165.22,41.70906142
OnAudience,300x250,Sign up Today - 10% Off,"San Francisco, California",clutchpoints.com,Google Ad Manager,Smartphone,7472,10,1191,5883,1,"$2,183.95","$2,183.95",0.13%,$218.40,$292.28,10.00%,"$1,833.71",20.24477307
Online Behavior>United States>Beauty and Fitness>Beauty Pageants,300x250,Sign up Today - 10% Off,"Chicago, Illinois",yahoo.com,BidSwitch,Apple PC,7584,40,3093,6897,2,"$4,467.08","$2,233.54",0.53%,$111.68,$589.01,5.00%,"$1,444.26",44.84558504
Online Behavior>United States>Sports>Individual Sports>Track and Field,320x50,Sign up Now - 10% Off,"Chicago, Illinois",mail.aol.com,Google Ad Manager,Smartphone,7514,20,2646,3373,3,"$6,756.30","$2,252.10",0.27%,$337.81,$899.16,15.00%,"$2,553.40",78.44648681
Online Behavior>United States>Sports>Individual Sports>Running and Walking,300x250,10% Discount - Ends 6/1,"Nashville, Tennessee",cbsnews.com,BidSwitch,Smartphone,7229,20,5668,6760,3,"$6,812.59","$2,270.86",0.28%,$340.63,$942.40,15.00%,"$1,201.94",83.84615385
Online Behavior>United States>Games>Card Games,320x50,10% Discount - Ends 6/1,"San Francisco, California",boattrader.com,Google Ad Manager,Smartphone,11511,33,8268,11042,3,"$6,815.71","$2,271.90",0.29%,$206.54,$592.10,9.09%,$824.35,74.87773954
US>Financially in Charge>Performance Score: Top 50%,320x50,10% Discount - Ends 6/1,"New York City, New York",weather.com,Google Ad Manager,Smartphone,12512,69,6240,9672,1,"$2,298.89","$2,298.89",0.55%,$33.32,$183.73,1.45%,$368.41,64.51612903
Online Behavior>United States>Online Communities>Online Goodies,300x250,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale, Florida",people.com,OpenX,Smartphone,8187,20,4888,7510,3,"$6,980.23","$2,326.74",0.24%,$349.01,$852.60,15.00%,"$1,428.03",65.08655126
Online Behavior>United States>The Changing Consumer>Streaming Services,320x50,Sign up Today - 10% Off,"Jacksonville, Florida",sports.yahoo.com,Google Ad Manager,Smartphone,9709,58,3339,7891,3,"$6,994.09","$2,331.36",0.60%,$120.59,$720.37,5.17%,"$2,094.66",42.31402864
US>Response Performance>Direct Marketing Purchasers,300x250,Subscribe Today - 10% Discount,"Champaign & Springfield-Decatur,Illinois",gamingbible.com,Google Ad Manager,Smartphone,13183,100,4337,10596,1,"$2,430.24","$2,430.24",0.76%,$24.30,$184.35,1.00%,$560.35,40.93053983
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Males 18-44,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",realtor.com,BidSwitch,Apple PC,10815,25,4321,9646,2,"$4,921.59","$2,460.80",0.23%,$196.86,$455.07,8.00%,"$1,138.99",44.79577027
Online Behavior>United States>Home and Garden>Home Furnishings,320x50,Sign up Now - 10% Off,"Chicago, Illinois",nypost.com,Google Ad Manager,Smartphone,25377,101,16698,23798,2,"$5,175.14","$2,587.57",0.40%,$51.24,$203.93,1.98%,$309.93,70.16556013
US>Reach>Propensity Models>Luxury Store Shoppers,300x50,Subscribe Today - 10% Discount,"Memphis, Tennessee",newsmemory.com,Google Ad Manager,Smartphone,15602,50,7676,13775,1,"$2,600.89","$2,600.89",0.32%,$52.02,$166.70,2.00%,$338.83,55.72413793
Online Behavior>United States>Autos and Vehicles>Brands>LandRover,300x250,Sign up Now - 10% Off,"Jacksonville, Florida",ebay.com,Google Ad Manager,Apple PC,104538,347,49049,97093,2,"$5,266.42","$2,633.21",0.33%,$15.18,$50.38,0.58%,$107.37,50.51754503
Online Behavior>United States>The Changing Consumer>Telehealth,300x50,Sign up Today - 10% Off,"Jacksonville, Florida",slickdeals.net,Magnite DV+,Smartphone,19408,58,6596,13880,2,"$5,492.82","$2,746.41",0.30%,$94.70,$283.02,3.45%,$832.75,47.52161383
US>Reach>Propensity Models>Lifestyle>Healthy Living,300x250,Subscribe Today - 10% Discount,"Peoria-Bloomington, Illinois",realtor.com,Google Ad Manager,Smartphone,15449,50,4595,13765,1,"$3,122.94","$3,122.94",0.32%,$62.46,$202.15,2.00%,$679.64,33.38176535
Online Behavior>United States>Life Event>Bride,320x50,Subscribe Today - 10% Discount,"Nashville, Tennessee",businessinsider.com,TripleLift,Smartphone,11919,69,8100,11524,2,"$6,350.92","$3,175.46",0.58%,$92.04,$532.84,2.90%,$784.06,70.28809441
Online Behavior>United States>Hobbies and Leisure>Outdoors>Equestrian,300x250,Subscribe Today - 10% Discount,"San Francisco, California",accuweather.com,Google Ad Manager,Smartphone,7862,20,2152,6039,2,"$6,506.43","$3,253.22",0.25%,$325.32,$827.58,10.00%,"$3,023.44",35.63503891
Online Behavior>United States>Finance>Banking>ATMs and Branch Locations,320x50,Subscribe Today - 10% Discount,"Los Angeles, California",dailyhodl.com,Xandr - Monetize SSP (AppNexus),Smartphone,39212,260,31317,37660,1,"$3,621.42","$3,621.42",0.66%,$13.93,$92.35,0.38%,$115.64,83.15719596
Online Behavior>United States>Autos and Vehicles>Brands>Aston Martin,300x250,Subscribe Today - 10% Discount,"Orlando-Daytona Beach, Florida",yahoo.com,Google Ad Manager,Windows PC,84460,209,13169,26688,1,"$4,279.23","$4,279.23",0.25%,$20.47,$50.67,0.48%,$324.95,49.34427458
US>Reach>Sociodemographic>Age>45-49,300x250,Subscribe Today - 10% Discount,"Nashville, Tennessee",forbes.com,Google Ad Manager,Windows PC,69239,160,23112,65390,1,"$4,514.95","$4,514.95",0.23%,$28.22,$65.21,0.63%,$195.35,35.34485395
Online Behavior>United States>Travel>Business Travel,320x50,Sign up Today - 10% Off,"Chicago, Illinois",marca.com,Google Ad Manager,Smartphone,45965,190,10028,37295,1,"$4,718.84","$4,718.84",0.41%,$24.84,$102.66,0.53%,$470.57,26.88832283
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Males 25-54,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",marca.com,Sharethrough,Smartphone,9725,80,6616,8778,1,"$4,942.28","$4,942.28",0.82%,$61.78,$508.20,1.25%,$747.02,75.37024379
Online Behavior>United States>Intent>Shopping>CPG� Grocery,300x250,Subscribe Today - 10% Discount,"New York City, New York",dailybee.com,Google Ad Manager,Smartphone,8111,0,4346,6163,1,"$5,000.76","$5,000.76",0.00%,#DIV/0!,$616.54,#DIV/0!,"$1,150.66",70.51760506
Online Behavior>United States>Arts and Entertainment>Comics and Animation,300x250,Subscribe Today - 10% Discount,"Knoxville, Tennessee",fox59.com,Google Ad Manager,Smartphone,7583,45,4608,5881,1,"$5,033.48","$5,033.48",0.59%,$111.86,$663.79,2.22%,"$1,092.34",78.35402142
Online Behavior>United States>Sports>Individual Sports>Skate Sports,320x50,Sign up Today - 10% Off,"Charleston, South Carolina",medical-news.org,Yahoo Exchange,Smartphone,117879,390,52098,86127,1,"$5,102.71","$5,102.71",0.33%,$13.08,$43.29,0.26%,$97.94,60.48974189
Online Behavior>United States>Travel>Carpooling and Vehicle Sharing,300x50,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",slickdeals.net,PubMatic,Smartphone,46190,130,8618,41618,1,"$5,464.11","$5,464.11",0.28%,$42.03,$118.30,0.77%,$634.03,20.70738623
Online Behavior>United States>Autos and Vehicles>Brands>Pontiac,320x50,Subscribe Today - 10% Discount,"San Francisco, California",sports.yahoo.com,BidSwitch,Smartphone,7769,10,3152,6464,1,"$5,603.05","$5,603.05",0.13%,$560.30,$721.21,10.00%,"$1,777.62",48.76237624
Online Behavior>United States>Validated Demographic>Gender and Age Combined>Males 18-64,300x250,Sign up Today - 10% Off,"Jacksonville, Florida",livescience.com,BidSwitch,Smartphone,9702,40,5564,8210,1,"$5,711.39","$5,711.39",0.41%,$142.78,$588.68,2.50%,"$1,026.49",67.77101096
Online Behavior>United States>Validated Demographic>Age>25-64,320x50,Sign up Now - 10% Off,"Savannah, Georgia",microsoftcasualgames.com,Magnite DV+,Smartphone,252170,650,9248,14192,1,"$5,874.00","$5,874.00",0.26%,$9.04,$23.29,0.15%,$635.16,65.16347238
Online Behavior>United States>Autos and Vehicles>Brands>Nissan,300x250,Sign up Today - 10% Off,"Chicago, Illinois",thefinancechatter.com,BidSwitch,Smartphone,7691,0,3890,5905,1,"$5,927.81","$5,927.81",0.00%,#DIV/0!,$770.75,#DIV/0!,"$1,523.86",65.87637595
Online Behavior>United States>Sports>Motor Sports,320x50,Sign up Now - 10% Off,"South Bend-Elkhart, Indiana",forbes.com,BidSwitch,Smartphone,8204,20,1348,7832,1,"$5,973.38","$5,973.38",0.24%,$298.67,$728.11,5.00%,"$4,431.29",17.21144025
Online Behavior>United States>Intent>Auto Buyers>Car Make>Nissan,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",britannica.com,Google Ad Manager,Smartphone,8068,10,5545,7554,1,"$5,995.04","$5,995.04",0.12%,$599.50,$743.06,10.00%,"$1,081.16",73.40481864
Online Behavior>United States>Sports>Individual Sports>Cycling,300x250,10% Discount - Ends 6/1,"Memphis, Tennessee",msn.com,TripleLift,Windows PC,117518,299,66458,86571,1,"$5,999.99","$5,999.99",0.25%,$20.07,$51.06,0.33%,$90.28,76.7670467
Online Behavior>United States>Intent>Auto Buyers>Car Make>Honda,300x250,Subscribe Today - 10% Discount,"Nashville, Tennessee",npr.org,Yahoo Exchange,Smartphone,8000,10,4400,6379,1,"$6,159.37","$6,159.37",0.13%,$615.94,$769.92,10.00%,"$1,399.86",68.97632858
Online Behavior>United States>Autos and Vehicles>Brands>Volvo,320x50,Subscribe Today - 10% Discount,"New York City, New York",chocolatecoveredkatie.com,Google Ad Manager,Smartphone,7806,20,3150,7247,1,"$6,162.32","$6,162.32",0.26%,$308.12,$789.43,5.00%,"$1,956.29",43.4662619
Online Behavior>United States>Intent>Auto Buyers>Category>Caravan,300x250,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale, Florida",ranker.com,Google Ad Manager,Smartphone,8097,20,4942,6868,1,"$6,177.46","$6,177.46",0.25%,$308.87,$762.93,5.00%,"$1,249.99",71.95690157
